variable,count,missing_count,missing_pct,mean,std,min,p1,p5,p25,median,p75,p90,p95,p99,max,zero_frequency
CHIRPS Rainfall (mm),4368,0,0.0,80.4894,106.8848,0.0,0.0006,0.4254,2.8757,17.4487,144.2329,246.7911,299.9128,407.2744,638.0,0.82
ERA5 Soil Water Layer 1 (m3/m3),2552,0,0.0,0.2876,0.0948,0.1605,0.1622,0.1767,0.2102,0.2436,0.3842,0.4345,0.4475,0.4631,0.472,0.0
ERA5 Soil Water Layer 2 (m3/m3),2552,0,0.0,0.3134,0.0793,0.2092,0.2117,0.2279,0.2504,0.2745,0.3934,0.4391,0.451,0.4657,0.4751,0.0
ERA5 Soil Water Layer 3 (m3/m3),2552,0,0.0,0.3296,0.0728,0.2182,0.2245,0.2403,0.2683,0.3054,0.3948,0.4439,0.4577,0.4751,0.4856,0.0
ERA5 Soil Water Layer 4 (m3/m3),2552,0,0.0,0.3874,0.0384,0.3033,0.317,0.3303,0.3582,0.3832,0.4131,0.4429,0.4584,0.4783,0.4932,0.0
ERA5 Total Soil Storage (mm),2552,0,0.0,1055.4112,122.4937,799.3509,836.7724,882.0548,960.4407,1038.5209,1135.0226,1233.8469,1286.644,1355.3982,1399.3412,0.0
MOD13Q1 NDVI,2439,17,0.692,0.43,0.1548,0.1224,0.1963,0.219,0.2885,0.4197,0.5511,0.6456,0.6947,0.7684,0.8352,0.0
MOD11A2 LST (deg C),2440,16,0.651,37.7426,6.3488,24.1619,26.977,29.5,32.6412,35.9009,43.2278,47.4017,48.8632,50.9107,53.0425,0.0
GWP Surface Water Freq,2112,0,0.0,0.3682,0.1766,0.0539,0.0924,0.1292,0.2264,0.3433,0.4685,0.6407,0.7232,0.7945,0.8475,0.0
Groundwater Depth - Well Obs (m bgl),157915,96,0.061,7.3788,4.2361,0.0,0.5,1.4,4.1,7.0,10.0,13.0,15.1,19.0,29.7,0.02
Groundwater Depth - District Median (m bgl),1935,5,0.258,6.7507,2.8223,0.2,1.3,2.3,4.6,6.8,8.8,10.33,11.3075,13.033,18.1,0.0
