district,month,rainfall_mean_mm,rainfall_median_mm,soil_storage_mean_mm,soil_storage_median_mm,ndvi_mean,ndvi_median,lst_mean_c,lst_median_c,surface_water_mean,surface_water_median,gw_depth_mean_m,gw_depth_median_m
Marathwada_All,1,3.66,2.19,1031.99,1030.83,0.4187,0.4146,32.05,32.24,0.3467,0.2997,7.25,6.6
Beed,1,2.49,0.88,1013.21,997.46,0.3847,0.3804,32.52,32.69,0.334,0.3705,6.83,6.1
Chhatrapati Sambhajinagar,1,3.13,1.98,995.73,991.22,0.4163,0.4155,31.48,31.63,0.5363,0.567,8.49,8.1
Dharashiv,1,2.08,0.47,1110.72,1116.5,0.3825,0.3824,33.09,33.23,0.383,0.4204,6.78,6.0
Hingoli,1,5.33,3.71,1023.08,1012.95,0.4394,0.4243,31.27,31.45,0.6306,0.6574,6.39,6.2
Jalna,1,3.76,2.42,1036.1,1027.61,0.4334,0.4129,31.69,31.83,0.2154,0.207,7.54,6.9
Latur,1,3.15,1.58,1042.08,1031.29,0.4093,0.4041,32.61,32.95,0.237,0.2328,6.39,5.8
Nanded,1,5.77,3.46,970.4,954.51,0.4362,0.4207,31.86,32.03,0.1733,0.1786,6.16,5.85
Parbhani,1,3.61,2.28,1064.63,1048.31,0.448,0.4374,31.86,32.12,0.2642,0.2617,7.4,6.8
Marathwada_All,2,2.46,1.28,1003.65,999.83,0.3398,0.3371,37.72,37.65,0.3388,0.3076,7.2,6.8
Beed,2,1.61,0.67,988.01,973.22,0.3154,0.3044,38.3,38.27,0.3305,0.3417,6.67,5.91
Chhatrapati Sambhajinagar,2,1.6,0.92,966.79,963.73,0.349,0.3504,37.1,36.94,0.4912,0.492,8.25,7.6
Dharashiv,2,1.99,1.2,1084.61,1091.04,0.3033,0.3006,38.75,38.72,0.4072,0.4047,10.0,10.0
Hingoli,2,3.92,1.78,992.07,985.88,0.3509,0.3453,36.98,36.92,0.5821,0.6028,6.42,6.4
Jalna,2,1.93,0.91,1008.28,1001.49,0.3487,0.334,37.64,37.76,0.2078,0.1876,7.27,7.9
Latur,2,2.49,1.38,1013.91,1004.59,0.3233,0.3118,38.34,38.34,0.2682,0.2649,0.6,0.6
Nanded,2,3.89,1.59,939.11,923.83,0.3606,0.3575,37.27,37.45,0.1766,0.1796,3.55,3.55
Parbhani,2,2.26,0.62,1036.39,1021.06,0.3674,0.3549,37.42,37.43,0.2464,0.2585,6.99,6.65
Marathwada_All,3,6.76,2.11,979.68,974.96,0.2871,0.2814,44.03,44.18,0.4042,0.3676,8.92,8.45
Beed,3,3.48,0.47,968.13,962.03,0.2739,0.2669,44.29,44.52,0.3918,0.4101,8.56,8.1
Chhatrapati Sambhajinagar,3,2.54,0.18,941.35,947.1,0.2984,0.2888,43.49,43.52,0.5347,0.533,10.11,10.0
Dharashiv,3,4.74,1.15,1062.98,1070.85,0.253,0.2505,44.97,45.05,0.5174,0.5217,8.68,8.1
Hingoli,3,10.67,2.69,964.82,957.65,0.2899,0.2859,43.53,43.92,0.6654,0.649,8.13,8.0
Jalna,3,5.03,0.27,984.65,988.19,0.2867,0.2683,44.48,45.18,0.2592,0.2704,9.25,8.85
Latur,3,7.8,3.16,990.91,981.67,0.2696,0.2633,44.32,44.55,0.363,0.357,8.49,8.0
Nanded,3,11.21,4.29,911.74,894.93,0.3155,0.3014,43.27,43.62,0.2158,0.2184,7.61,7.4
Parbhani,3,8.6,2.74,1012.85,1006.81,0.31,0.3041,43.92,44.22,0.2865,0.291,8.62,8.2
Marathwada_All,4,9.91,3.85,953.78,951.88,0.2598,0.2566,47.64,48.19,0.4121,0.3821,7.87,7.6
Beed,4,9.31,3.65,945.55,945.44,0.2499,0.2482,47.59,48.22,0.3929,0.3936,9.99,8.83
Chhatrapati Sambhajinagar,4,2.62,0.28,914.64,918.83,0.2583,0.2535,47.72,48.45,0.4808,0.4822,9.3,8.9
Dharashiv,4,13.76,8.54,1040.8,1049.72,0.2382,0.2327,47.72,48.19,0.5657,0.5605,10.0,10.0
Hingoli,4,9.24,3.89,935.21,929.61,0.2649,0.2679,47.52,47.93,0.6573,0.6471,6.88,6.6
Jalna,4,5.17,1.13,958.07,962.04,0.2439,0.2376,48.65,49.1,0.2862,0.3099,7.7,7.9
Latur,4,15.9,10.14,966.81,964.67,0.2542,0.2485,47.1,47.47,0.4039,0.3952,5.54,4.95
Nanded,4,14.24,6.22,882.18,867.36,0.2915,0.283,46.87,47.35,0.2175,0.2215,8.0,7.1
Parbhani,4,9.04,3.02,986.96,982.63,0.2778,0.271,47.93,48.32,0.2923,0.302,7.43,7.2
Marathwada_All,5,26.98,11.38,934.63,931.69,0.2455,0.2369,46.81,47.26,0.4465,0.415,10.03,9.7
Beed,5,32.04,14.89,928.98,923.64,0.2414,0.2339,46.5,46.93,0.4147,0.4122,9.73,9.45
Chhatrapati Sambhajinagar,5,22.26,6.59,895.22,896.05,0.2391,0.2284,46.46,47.09,0.4868,0.4811,11.36,11.12
Dharashiv,5,38.37,25.17,1024.72,1028.81,0.2389,0.2256,46.46,47.11,0.611,0.6033,10.58,10.1
Hingoli,5,22.76,9.9,913.17,906.59,0.2478,0.2438,47.11,47.66,0.7061,0.7112,9.03,9.0
