stream,district,date,value,clim_median,robust_z,temporal_diff,lower_iqr,upper_iqr,classification
CHIRPS,Beed,1981-01,54.426,0.8751,329.25,,-0.2289,2.4479,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,1981-02,0.1961,0.671,7.18,27.6062,0.0704,1.589,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,1982-01,2.349,0.8751,9.06,5.9466,-0.2289,2.4479,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,1982-11,96.0495,11.0638,9.17,81.1602,-26.4613,59.9133,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,1983-12,27.0668,5.9013,6.8,23.7718,-3.974,16.8284,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,1984-01,2.4005,0.8751,9.38,11.7913,-0.2289,2.4479,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,1984-02,1.3169,0.671,9.77,3.4695,0.0704,1.589,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,1984-03,7.1724,0.4733,10.26,4.779,-7.5885,12.7556,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,1985-02,11.6394,0.671,165.94,8.7891,0.0704,1.589,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,1985-03,4.5489,0.4733,6.24,1.8054,-7.5885,12.7556,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,1987-02,0.9796,0.671,4.67,0.5039,0.0704,1.589,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,1987-05,83.0793,14.8908,3.83,26.5716,-35.6329,68.5188,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,1987-11,63.3067,11.0638,5.64,11.2614,-26.4613,59.9133,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,1988-03,8.4791,0.4733,12.26,0.24,-7.5885,12.7556,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,1989-01,3.6371,0.8751,16.98,1.0085,-0.2289,2.4479,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,1990-05,148.4742,14.8908,7.51,18.2545,-35.6329,68.5188,Statistical Outlier / Seasonal Extreme
