district,response_variable,lag_k,correlation
Marathwada_Pooled,Soil Water (ERA5),-3,-0.0026
Marathwada_Pooled,Soil Water (ERA5),-2,0.0603
Marathwada_Pooled,Soil Water (ERA5),-1,0.1519
Marathwada_Pooled,Soil Water (ERA5),0,0.2157
Marathwada_Pooled,Soil Water (ERA5),1,0.2143
Marathwada_Pooled,Soil Water (ERA5),2,0.1621
Marathwada_Pooled,Soil Water (ERA5),3,0.1635
Marathwada_Pooled,Soil Water (ERA5),4,0.1799
Marathwada_Pooled,Soil Water (ERA5),5,0.1872
Marathwada_Pooled,Soil Water (ERA5),6,0.1508
Beed,Soil Water (ERA5),-3,0.0239
Beed,Soil Water (ERA5),-2,0.1047
Beed,Soil Water (ERA5),-1,0.2198
Beed,Soil Water (ERA5),0,0.2906
Beed,Soil Water (ERA5),1,0.2846
Beed,Soil Water (ERA5),2,0.2097
Beed,Soil Water (ERA5),3,0.1962
Beed,Soil Water (ERA5),4,0.1913
Beed,Soil Water (ERA5),5,0.1818
Beed,Soil Water (ERA5),6,0.1504
Chhatrapati Sambhajinagar,Soil Water (ERA5),-3,0.0604
Chhatrapati Sambhajinagar,Soil Water (ERA5),-2,0.1472
Chhatrapati Sambhajinagar,Soil Water (ERA5),-1,0.2621
Chhatrapati Sambhajinagar,Soil Water (ERA5),0,0.3336
Chhatrapati Sambhajinagar,Soil Water (ERA5),1,0.3137
Chhatrapati Sambhajinagar,Soil Water (ERA5),2,0.2184
Chhatrapati Sambhajinagar,Soil Water (ERA5),3,0.157
Chhatrapati Sambhajinagar,Soil Water (ERA5),4,0.1112
Chhatrapati Sambhajinagar,Soil Water (ERA5),5,0.0903
Chhatrapati Sambhajinagar,Soil Water (ERA5),6,0.0621
Dharashiv,Soil Water (ERA5),-3,0.0694
Dharashiv,Soil Water (ERA5),-2,0.1364
Dharashiv,Soil Water (ERA5),-1,0.225
Dharashiv,Soil Water (ERA5),0,0.2748
Dharashiv,Soil Water (ERA5),1,0.2567
Dharashiv,Soil Water (ERA5),2,0.1859
Dharashiv,Soil Water (ERA5),3,0.1816
Dharashiv,Soil Water (ERA5),4,0.1956
Dharashiv,Soil Water (ERA5),5,0.2073
Dharashiv,Soil Water (ERA5),6,0.1779
Hingoli,Soil Water (ERA5),-3,-0.0658
Hingoli,Soil Water (ERA5),-2,0.0138
Hingoli,Soil Water (ERA5),-1,0.1217
Hingoli,Soil Water (ERA5),0,0.2009
Hingoli,Soil Water (ERA5),1,0.2038
Hingoli,Soil Water (ERA5),2,0.1537
Hingoli,Soil Water (ERA5),3,0.1652
Hingoli,Soil Water (ERA5),4,0.1901
Hingoli,Soil Water (ERA5),5,0.2009
Hingoli,Soil Water (ERA5),6,0.1499
Jalna,Soil Water (ERA5),-3,0.0279
Jalna,Soil Water (ERA5),-2,0.1014
Jalna,Soil Water (ERA5),-1,0.2097
Jalna,Soil Water (ERA5),0,0.2867
Jalna,Soil Water (ERA5),1,0.2734
Jalna,Soil Water (ERA5),2,0.1964
Jalna,Soil Water (ERA5),3,0.1595
Jalna,Soil Water (ERA5),4,0.149
Jalna,Soil Water (ERA5),5,0.1451
Jalna,Soil Water (ERA5),6,0.1132
Latur,Soil Water (ERA5),-3,0.009
Latur,Soil Water (ERA5),-2,0.0498
Latur,Soil Water (ERA5),-1,0.1251
Latur,Soil Water (ERA5),0,0.1837
Latur,Soil Water (ERA5),1,0.2079
