sequence_id,district,forecast_origin,wsi_at_origin,residual_t1,residual_t2,residual_t3,split
1,Beed,2003-12-01,1.5224439951982838,-0.4292456957903248,-0.5193716141786915,-0.5590699169245106,train
2,Beed,2004-01-01,1.0931983484300525,-0.0901259674104602,-0.1298242701562793,-0.5082997573884875,train
3,Beed,2004-02-01,1.0030724055213414,-0.039698327247568166,-0.4181738144797764,-1.4010752982539616,train
4,Beed,2004-03-01,0.9633740746580064,-0.37847548361644145,-1.3613769673906266,-1.3567462825380265,train
5,Beed,2004-04-01,0.5848986077595376,-0.9829015004921579,-0.9782708156395578,0.1631629895877219,train
6,Beed,2004-05-01,-0.3980028887503176,0.004630680870297443,1.146064486097577,1.1637091298811464,train
7,Beed,2004-06-01,-0.3933722101219949,1.1414338074692545,1.1590784512528238,1.251219185448533,train
8,Beed,2004-07-01,0.7480615982439072,0.01764464288692169,0.10978537708263092,-0.09437829345722504,train
9,Beed,2004-08-01,0.7657062297648644,0.09214074556167373,-0.11202292497818223,-0.4814312344378685,train
10,Beed,2004-09-01,0.85784698645373,-0.2041636816670479,-0.5735719911267342,-0.21060926834841387,train
11,Beed,2004-10-01,0.6536832856665252,-0.3694082903395294,-0.006445567561209065,-0.08259175295931087,train
12,Beed,2004-11-01,0.2842749896620446,0.36296272844327154,0.28681654304516974,0.5108746942902869,train
13,Beed,2004-12-01,0.6472377217072377,-0.07614618900002335,0.14791196224509384,-0.04260915877999161,train
14,Beed,2005-01-01,0.5710915200122203,0.22405816394011124,0.033537042915025794,-0.6179093442567195,train
15,Beed,2005-02-01,0.7951496551406275,-0.19052109221338143,-0.8419674793851267,-0.5168833742511164,train
16,Beed,2005-03-01,0.6046285704959162,-0.6514463947404154,-0.3263622896064051,-0.023228533684087616,train
17,Beed,2005-04-01,-0.0468178256396259,0.325084106529137,0.6282178624514545,0.3802874549273456,train
18,Beed,2005-05-01,0.2782662715301315,0.3031337652816971,0.05520335775758822,-0.08575285035226743,train
19,Beed,2005-06-01,0.5814000252963845,-0.24793039600866473,-0.3888866041185204,-0.712664473462278,train
20,Beed,2005-07-01,0.3334696406715407,-0.14095621949367665,-0.4647340888374343,-0.841202449261476,train
21,Beed,2005-08-01,0.1925134193956256,-0.32377786756151916,-0.7002462279855609,-0.5338827502786517,train
22,Beed,2005-09-01,-0.1312644526997485,-0.3764683558901868,-0.2101048781832776,-0.14140587591734743,train
23,Beed,2005-10-01,-0.5077328263434329,0.16636349546040674,0.23506249772633692,0.394593606761352,train
24,Beed,2005-11-01,-0.3413693325448708,0.06869900392777484,0.22823011296278994,0.2109647856879906,train
25,Beed,2005-12-01,-0.2726703355712832,0.15953111598920233,0.14226578871440299,-0.16872521539497964,train
26,Beed,2006-01-01,-0.113139217861147,-0.017265328995733187,-0.3282563331051158,-0.020309069983510897,train
27,Beed,2006-02-01,-0.1304045533664358,-0.310990997599827,-0.003043734478222093,-0.2034354591839182,train
28,Beed,2006-03-01,-0.4413955631604207,0.3079472753157628,0.10755555061006672,0.22785450247430927,train
29,Beed,2006-04-01,-0.1334482878940056,-0.2003917246563484,-0.08009277279210586,-1.026409819672828,train
30,Beed,2006-05-01,-0.3338400162594333,0.12029895557332188,-0.8260180913074002,-0.21733051167559475,train
31,Beed,2006-06-01,-0.2135410645319145,-0.946317043034919,-0.3376294634031136,-0.6285945436643441,train
32,Beed,2006-07-01,-1.159858051014173,0.6086875230791449,0.3177224428179144,0.40511274642966977,train
33,Beed,2006-08-01,-0.5511705440101197,-0.2909650641861389,-0.2035747605743835,-0.07402990641025997,train
34,Beed,2006-09-01,-0.8421355854947591,0.08739028091025591,0.21693513507437945,0.5681617629010701,train
35,Beed,2006-10-01,-0.7547452956853059,0.12954484526492627,0.48077147309161694,0.12639390532352002,train
36,Beed,2006-11-01,-0.625200462585832,0.351226639992143,-0.003150927775953938,0.3261840763153089,train
37,Beed,2006-12-01,-0.2739738244856052,-0.3543775658761807,-0.02504256178491787,0.07034179757482334,train
38,Beed,2007-01-01,-0.6283514190980113,0.3293350328274882,0.4247193921872294,0.6548814651139891,train
39,Beed,2007-02-01,-0.2990163926791615,0.09538436576837966,0.3255464386951394,0.476172200293488,train
40,Beed,2007-03-01,-0.2036320242673633,0.23016207028334115,0.38078783188168974,-0.323194178602052,train
41,Beed,2007-04-01,0.0265300451377368,0.15062576247658968,-0.5533562480071521,-0.9407034693816638,train
42,Beed,2007-05-01,0.1771558069235994,-0.7039820097930147,-1.0913292311675264,-0.5982989512927248,train
43,Beed,2007-06-01,-0.5268262160412269,-0.3873472082027001,0.10568307167210156,-0.0663547980197472,train
44,Beed,2007-07-01,-0.9141734371629554,0.49303029279383004,0.3209924231019813,0.9243826958087283,train
45,Beed,2007-08-01,-0.4211431373554099,-0.1720378767055642,0.43135239600118286,0.5006941337781776,train
46,Beed,2007-09-01,-0.5931810184634458,0.6033902771092188,0.6727320148862135,0.9797612472689878,train
47,Beed,2007-10-01,0.0102092585086274,0.06934173791414024,0.3763709702969146,-0.01479891254821895,train
48,Beed,2007-11-01,0.0795509956587958,0.3070292331467462,-0.08414064969838735,-0.37612821085349796,train
49,Beed,2007-12-01,0.3865802270857454,-0.39116988112533696,-0.6831574422804476,-0.9824558479277254,train
50,Beed,2008-01-01,-0.0045896540021279,-0.29198756119257424,-0.5912859668398521,-0.49122973581797097,train
51,Beed,2008-02-01,-0.2965772197934181,-0.29929840104856187,-0.19924217002668076,0.24458021012864417,train
52,Beed,2008-03-01,-0.5958756268977674,0.10005623707766853,0.5438786172329935,1.284266835546449,train
53,Beed,2008-04-01,-0.4958194035897705,0.44382239392499656,1.1842106122384521,1.8744520682702515,train
54,Beed,2008-05-01,-0.0519970113868282,0.7403882200355099,1.4306296760673092,0.9176301414603756,train
55,Beed,2008-06-01,0.6883911988536742,0.6902414658268068,0.1772419312198732,-0.9200142077009108,train
56,Beed,2008-07-01,1.3786326175332062,-0.5129994874596588,-1.6102556263804428,-1.5597890740036957,train
57,Beed,2008-08-01,0.8656331129913079,-1.0972561218385444,-1.0467895694617972,-1.090245274508451,train
