model,district,mae,rmse,r2,mae_h1,mae_h2,mae_h3
Persistence,Beed,0.4138,0.5496,-0.112,0.3237,0.4393,0.4784
Persistence,Chhatrapati Sambhajinagar,0.4808,0.6224,-0.368,0.3682,0.4929,0.5814
Persistence,Dharashiv,0.4058,0.5398,-0.1245,0.3194,0.4372,0.4608
Persistence,Hingoli,0.3957,0.5359,-0.7973,0.3418,0.3968,0.4486
Persistence,Jalna,0.4638,0.6092,-0.2301,0.3375,0.5015,0.5523
Persistence,Latur,0.3528,0.4569,0.0677,0.2949,0.3551,0.4083
Persistence,Nanded,0.3877,0.5081,-0.4348,0.2997,0.3904,0.4728
Persistence,Parbhani,0.4504,0.5909,-0.7334,0.366,0.4902,0.4951
Ridge_Regression,Beed,0.562,0.7738,-1.2043,0.3684,0.5899,0.7278
Ridge_Regression,Chhatrapati Sambhajinagar,0.5309,0.7047,-0.7538,0.3689,0.5273,0.6966
Ridge_Regression,Dharashiv,0.5314,0.7554,-1.2024,0.406,0.548,0.6402
Ridge_Regression,Hingoli,0.6056,0.7605,-2.6199,0.4294,0.6182,0.769
Ridge_Regression,Jalna,0.5373,0.74,-0.815,0.3453,0.5575,0.7092
Ridge_Regression,Latur,0.5653,0.7854,-1.7556,0.3851,0.5779,0.7329
Ridge_Regression,Nanded,0.535,0.7124,-1.8206,0.3393,0.5403,0.7255
Ridge_Regression,Parbhani,0.6347,0.8532,-2.6135,0.419,0.6528,0.8324
Seasonal_Persistence,Beed,0.6549,0.8087,-1.4078,0.6337,0.6609,0.6701
Seasonal_Persistence,Chhatrapati Sambhajinagar,0.6999,0.86,-1.612,0.6885,0.7017,0.7094
Seasonal_Persistence,Dharashiv,0.5997,0.7541,-1.1948,0.5832,0.5991,0.6166
Seasonal_Persistence,Hingoli,0.443,0.5594,-0.9589,0.4492,0.4459,0.4339
Seasonal_Persistence,Jalna,0.628,0.7978,-1.11,0.6081,0.6335,0.6425
Seasonal_Persistence,Latur,0.6268,0.7435,-1.4695,0.6082,0.6284,0.6437
Seasonal_Persistence,Nanded,0.4784,0.6187,-1.1271,0.4852,0.4802,0.4698
Seasonal_Persistence,Parbhani,0.5009,0.6315,-0.9794,0.5014,0.5028,0.4984
WSI_Autoregression,Beed,0.5224,0.6636,-0.6213,0.3674,0.5265,0.6733
WSI_Autoregression,Chhatrapati Sambhajinagar,0.5399,0.6889,-0.676,0.382,0.5325,0.7052
WSI_Autoregression,Dharashiv,0.4709,0.5977,-0.3788,0.3443,0.49,0.5783
WSI_Autoregression,Hingoli,0.5146,0.6487,-1.6339,0.3826,0.5206,0.6406
WSI_Autoregression,Jalna,0.5302,0.6964,-0.6077,0.3693,0.5337,0.6876
WSI_Autoregression,Latur,0.4794,0.5839,-0.5227,0.3296,0.4985,0.6101
WSI_Autoregression,Nanded,0.4539,0.5934,-0.9568,0.3227,0.4513,0.5878
WSI_Autoregression,Parbhani,0.5428,0.7058,-1.473,0.382,0.5493,0.697
XGBoost,Beed,0.5961,0.7516,-1.0797,0.428,0.5844,0.7759
XGBoost,Chhatrapati Sambhajinagar,0.6133,0.7679,-1.0826,0.4509,0.5998,0.7891
XGBoost,Dharashiv,0.5316,0.6907,-0.8409,0.4026,0.5182,0.6741
XGBoost,Hingoli,0.538,0.6799,-1.8929,0.3944,0.5232,0.6963
XGBoost,Jalna,0.6332,0.7809,-1.0213,0.4781,0.6333,0.7883
XGBoost,Latur,0.5265,0.6674,-0.9894,0.4006,0.5236,0.6554
XGBoost,Nanded,0.5418,0.6713,-1.5042,0.4149,0.5419,0.6686
XGBoost,Parbhani,0.5822,0.755,-1.8298,0.4171,0.5722,0.7573
