model,horizon,stress_precision,stress_recall,stress_f1,severe_precision,severe_recall,severe_f1
Persistence,overall,0.0,0.0,0.0,0.0,0.0,0.0
Persistence,h1,0.0,0.0,0.0,0.0,0.0,0.0
Persistence,h2,0.0,0.0,0.0,0.0,0.0,0.0
Persistence,h3,0.0,0.0,0.0,0.0,0.0,0.0
Ridge_Regression,overall,0.0,0.0,0.0,0.0,0.0,0.0
Ridge_Regression,h1,0.0,0.0,0.0,0.0,0.0,0.0
Ridge_Regression,h2,0.0,0.0,0.0,0.0,0.0,0.0
Ridge_Regression,h3,0.0,0.0,0.0,0.0,0.0,0.0
Seasonal_Persistence,overall,0.0,0.0,0.0,0.0,0.0,0.0
Seasonal_Persistence,h1,0.0,0.0,0.0,0.0,0.0,0.0
Seasonal_Persistence,h2,0.0,0.0,0.0,0.0,0.0,0.0
Seasonal_Persistence,h3,0.0,0.0,0.0,0.0,0.0,0.0
WSI_Autoregression,overall,0.0,0.0,0.0,0.0,0.0,0.0
WSI_Autoregression,h1,0.0,0.0,0.0,0.0,0.0,0.0
WSI_Autoregression,h2,0.0,0.0,0.0,0.0,0.0,0.0
WSI_Autoregression,h3,0.0,0.0,0.0,0.0,0.0,0.0
XGBoost,overall,0.0,0.0,0.0,0.0,0.0,0.0
XGBoost,h1,0.0,0.0,0.0,0.0,0.0,0.0
XGBoost,h2,0.0,0.0,0.0,0.0,0.0,0.0
XGBoost,h3,0.0,0.0,0.0,0.0,0.0,0.0
